iter	Passed	Remaining
0	1	104
1	2	101
2	3	107
3	4	108
4	5	99
5	5	92
6	6	91
7	7	91
8	9	92
9	10	91
10	11	93
11	12	91
12	13	91
13	15	95
14	16	94
15	17	92
16	18	92
17	19	89
18	20	88
19	21	87
20	23	87
21	24	86
22	25	86
23	26	84
24	27	83
25	29	83
26	30	81
27	31	80
28	32	78
29	33	78
30	34	77
31	36	77
32	37	76
33	38	74
34	39	73
35	41	73
36	43	73
37	44	72
38	45	71
39	46	70
40	48	69
41	49	67
42	50	67
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	63	51
55	63	50
56	65	49
57	66	48
58	67	46
59	69	46
60	70	45
61	71	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	84	29
74	85	28
75	86	27
76	88	26
77	90	25
78	91	24
79	91	22
80	92	21
81	94	20
82	94	19
83	96	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	108	4
96	108	3
97	109	2
98	110	1
99	111	0
